Code,Age,Household Number,Household with Children Number,Household with Children Ratio
52002,39.5,17357,3229,0.186034453
91343,34.4,67471,9808,0.145366157
53965,46.9,10563,1262,0.119473634
37110,40.8,33848,4327,0.127836209
91945,35.8,27533,4047,0.146987252
46545,37.8,24954,2194,0.087921776
37659,44.8,28381,3811,0.134279976
31601,31.7,30930,1870,0.060459101
29403,29.8,22056,950,0.04307218
75206,31.7,39435,3176,0.080537594
37743,46.3,26221,2341,0.089279585
28216,36.5,50392,4685,0.092971107
17350,45.7,13161,1675,0.127269964
16148,49.6,16295,1792,0.109972384
92683,42.2,92098,11772,0.127820365
15146,46.7,27979,3288,0.117516709
19464,38.4,47415,6242,0.131646104
28607,24.6,36948,2587,0.070017322
40509,36.4,42099,6978,0.165752156
73034,37.3,45677,7922,0.173435208
42431,40.3,26009,2800,0.107655042
71801,38.2,17078,2276,0.133270875
29511,41.4,5491,811,0.14769623
21061,36.2,54447,6736,0.123716642
45424,37.6,51866,7053,0.135985038
68803,39.2,25482,3497,0.137234126
37210,30.8,17436,1586,0.09096123
29461,38.5,38742,5680,0.146610913
55431,44.6,18474,2293,0.124120385
37130,29.2,57623,6300,0.109331343
37075,40.5,66705,11102,0.1664343
37087,38.8,49091,6322,0.128781243
53713,30.3,22497,2235,0.09934658
37918,38.4,45761,5887,0.128646664
63640,42,29571,3042,0.102871056
45069,40.3,52190,9498,0.181988887
54303,34.7,27715,3125,0.112754826
30180,36.7,37290,5731,0.153687316
54115,36,46155,8261,0.178983859
75040,35.5,63097,9934,0.157440132
60110,30.3,39409,6835,0.17343754
70814,37.2,13776,1708,0.12398374
20854,48.3,49725,9969,0.200482655
54868,44.1,15413,1818,0.117952378
48080,44.8,22838,2359,0.103292758
4605,47.5,14291,1400,0.097963753
37047,51.4,2122,161,0.075871819
30439,38.8,10937,1165,0.106519155
58801,30.8,31851,5444,0.17092085
65109,39.3,39615,5854,0.147772308
40243,45,10599,1378,0.130012265
30214,44.8,29899,3526,0.117930366
30144,31.1,57400,8212,0.143066202
29640,41,31092,3798,0.122153609
77083,34.4,79152,10511,0.132795128
80134,36.9,69917,15805,0.226053749
72204,36.4,31924,1995,0.062492169
53219,38.5,35258,4205,0.119263713
73505,34,49114,5521,0.11241194
98374,37.7,42066,7413,0.176223078
98499,33.9,31865,3491,0.109555939
65708,36.3,13923,2455,0.176326941
95126,34.7,36600,4284,0.11704918
48150,41,26220,3764,0.143554539
92618,34.3,49531,9301,0.187781389
44515,43.1,26863,2768,0.103041358
11416,36.2,27035,3705,0.137044572
85004,29,7242,160,0.022093344
68131,28.3,13542,1344,0.099246788
85392,32.8,39479,6505,0.164771144
28262,27.6,43680,4308,0.098626374
63044,41.5,10649,1280,0.12019908
73801,36.2,15566,2475,0.159000385
98383,37.4,22180,3066,0.138232642
24740,43.4,30401,2609,0.085819545
37924,38.1,12808,1694,0.132261087
98109,31.4,30715,1750,0.056975419
53018,49.7,7684,1177,0.153175429
30305,38.9,24818,3462,0.139495527
77520,33.5,35735,5024,0.140590458
16602,42.6,29283,2861,0.097701738
44514,48.4,21974,3073,0.139847092
40222,41.5,22478,2748,0.122252869
30084,40.8,38792,4982,0.128428542
55125,38.3,43971,8401,0.191057743
33131,35.6,18678,1590,0.085126887
49036,42.8,23943,2992,0.124963455
37920,38.2,40798,3667,0.089881857
28334,42.2,23665,2424,0.102429749
32114,35.9,33205,1242,0.037404005
70601,37.2,32044,2171,0.067750593
32211,32.5,36045,4379,0.12148703
98408,36.4,21331,2097,0.098307627
85281,24.9,67561,2889,0.042761356
80016,38.2,57461,12733,0.221593777
32839,32.3,53462,4341,0.08119786
89503,32.2,29181,2242,0.076830815
30518,36.8,54366,11310,0.208034433
